# RNA expression levels in TPM (transcripts per million transcripts)
# At 0'..30' time points after rifampin inhibition of RNA synthesis
#
gene	class	0m	3m	6m	9m	12m	15m	18m	21m	24m	27m	30m
fcnZ	early	5.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
mnsN	early	12.00	5.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
eqoN	middle	65.01	68.97	60.96	40.95	22.95	16.98	8.98	10.98	10.99	3.00	1.00
gupU	early	65.01	31.98	35.97	25.97	22.95	8.99	12.97	6.99	3.00	2.00	1.00
wccP	early	68.01	50.98	38.97	21.97	18.96	7.99	3.99	5.99	0.00	1.00	2.00
tsxE	middle	119.02	124.94	153.89	133.85	109.75	89.91	82.81	75.88	64.96	55.96	51.03
clqS	early	136.02	48.98	14.99	4.99	1.00	1.00	0.00	0.00	0.00	0.00	0.00
zrpI	middle	4.00	8.00	10.99	4.00	2.99	6.99	8.98	2.00	2.00	1.00	3.00
pmmB	early	121.02	105.95	89.93	74.91	49.89	31.97	26.94	27.96	10.99	6.00	2.00
sxuU	early	766.14	568.73	432.68	300.65	166.63	132.86	84.81	61.90	36.98	20.98	11.01
nypS	early	54.01	38.98	35.97	19.98	7.98	11.99	3.99	3.00	7.00	1.00	3.00
ltpV	early	60.01	47.98	44.97	51.94	47.89	31.97	30.93	25.96	15.99	26.98	22.01
azpH	late	3526.63	4344.91	5210.18	6042.05	6960.46	7665.17	8373.13	8919.73	9421.37	9938.70	10513.90
rcgX	early	95.02	73.96	65.95	57.93	35.92	24.97	20.95	13.98	13.99	6.99	7.00
ikxJ	early	209.04	14.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
nruK	early	291.05	240.88	231.83	215.75	155.65	127.87	93.79	82.87	66.96	54.96	43.02
dgcS	early	14.00	12.99	3.00	1.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00
rfaE	early	133.02	100.95	61.95	55.94	38.91	29.97	18.96	12.98	9.99	2.00	1.00
bokW	early	471.08	351.83	241.82	159.82	86.81	76.92	40.91	27.96	14.99	8.99	5.00
ldsL	early	9.00	4.00	3.00	1.00	0.00	2.00	0.00	0.00	1.00	0.00	0.00
hedF	early	23.00	11.99	9.99	4.99	2.00	1.00	2.00	0.00	1.00	1.00	0.00
ollF	middle	96.02	112.95	83.94	88.90	78.82	57.94	37.91	36.94	37.98	28.98	22.01
pbkD	early	26.00	18.99	11.99	5.99	7.98	5.99	3.99	0.00	0.00	2.00	0.00
eibC	early	30.01	4.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
denC	early	12.00	8.00	2.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
nvcC	early	7.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
jupM	early	9.00	9.00	3.00	2.00	2.00	0.00	1.00	0.00	0.00	0.00	0.00
vprS	early	3.00	2.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
