                4hr    4hr    8hr    8hr   16hr   16hr   24hr   24hr 
gene           +-20    +-2   +-20    +-5    +-5   +-20    +-2   +-20 
------------ ------ ------ ------ ------ ------ ------ ------ ------ 
wkiN          46.91  46.55  49.38  64.63  48.48  49.01  30.71  24.80 
wicQ          35.27  21.65  11.59  41.64  56.33  22.75  17.78  32.35 
zgvC           8.15  22.10  21.27  27.50  64.60  79.56  44.67  44.80 
dczC          56.80  74.45  42.10  47.14  27.08  26.62  71.73  93.36 
jarO          73.63  64.03  92.24  60.41  23.81  24.71  44.66  10.19 
lfpY          16.58  30.58  25.31  22.27  48.61  38.77  55.01  53.45 
retS          56.69  47.92  38.73  24.26  51.48  45.60  70.12  52.28 
cbaJ          67.61  70.74  50.69  53.99  29.63   3.30  57.78   3.05 
vdbK          46.92  53.57  36.90  35.26  37.93  33.05  63.00  45.72 
slwZ          68.98  59.26  44.09  79.95  28.23   5.61  35.46  50.07 
wjmU          33.36  33.57 104.52  63.71  63.12  63.35  19.34  40.88 
uhxN          48.88  22.50  48.75  36.31  69.64  52.63  34.58  29.21 
