#cell        type         defA         kilA
0               2           63           16
1               0            1           35
2               1           71           72
3               4           46            3
4               3            1            3
5               3            1            3
6               0            2           96
7               3            2            2
8               2           19           24
9               1           57          118
10              1           73          130
11              0            2           57
12              1          119           38
13              2           24           34
14              2           13           22
15              3            1            2
16              4          120            1
17              3           10            2
18              2           60           36
19              0            5           82
20              3            1            1
21              3            2            6
22              3            4            5
23              1          137           97
24              1          123          125
25              3            1            1
26              2           17           25
27              4          105            1
28              3            1            7
29              2           16           46
30              0            1          117
31              0            1          151
32              2           43           57
33              2           39           17
34              2           23           47
35              1          137          150
36              1           39          120
37              3            5            4
38              1           51          144
39              4          138            5
40              3            1            2
41              2           21           23
42              1           82          193
43              2           12           16
44              3            2            3
45              4           42            1
46              2           17           58
47              2           30           40
48              0            1          123
49              3            1            4
50              2           13           30
51              2           45           16
52              3           12            5
53              2           36           28
54              0            1           56
55              0            5          225
56              1           63          193
57              3            1            2
58              2           50           35
59              4           49            2
60              0            3          175
61              3            2            1
62              4           89            1
63              2           30           14
64              2           18           32
65              2           18          100
66              4           76            1
67              4           88            4
68              4           39            4
69              4          186            4
70              2           29           39
71              1          148          120
72              2           20           19
73              3            9            2
74              1          141          167
75              1          108          100
76              2           18           20
77              4           82            9
78              3            4            3
79              2           28           46
80              4          100            2
81              2           15            9
82              0            8           71
83              0            1           90
84              2           39           33
85              1          117          150
86              3            3            6
87              2           42           10
88              2           27            8
89              2           32           41
90              1           82           56
91              1          237          104
92              2           28           27
93              3            8            2
94              0            1          140
95              0            3           78
96              2           28           17
97              2           11           12
98              3            4            3
99              2           30           32
100             1           58           80
101             2           24           17
102             1          106           49
103             2           12           31
104             4           47            3
105             1           88           59
106             1          157           43
107             2           50           31
108             2           40           14
109             2           41           23
110             2           18           30
111             0            2          119
112             2           29           17
113             0            5          153
114             1          186          119
115             1           72          145
116             1           47           73
117             0            4          141
118             3            5            1
119             3            3            2
120             3            5            7
121             4          115            8
122             2           17           15
123             2           35           21
124             2           19           55
125             2           46           63
126             2           40           12
127             0            4          125
128             2           14           22
129             4           33            1
130             3            2            7
131             3            7            2
132             0            4          120
133             2           34           19
134             2           63           18
135             2           20           16
136             0            1           80
137             1           61          108
138             3            2            3
139             2           27           39
140             3            1            5
141             2           62           19
142             2           20           20
143             2           19           32
144             2           34           18
145             2           22           21
146             1          134          138
147             2           49           37
148             4          150            1
149             2           10           32
150             0            5           73
151             0            1           96
152             2           48           42
153             4          105            2
154             0            4           42
155             2           49           39
156             4           85            1
157             1           65           38
158             2           29           27
159             2           47           68
160             3            3            2
161             4          100            2
162             3            3            1
163             1          133           97
164             1           71          132
165             2           21           33
166             2           58           31
167             2           28           17
168             2           52           51
169             2           52           41
170             3            1            4
171             3            3            1
172             2            9           27
