# synthesis rates in mRNA/min
# mRNA decay halflives in min
#
gene	synthesis_rate	halflife
lsuW	0.27	1.85
ilaK	0.01	0.47
rmwC	0.58	14.76
dcwO	0.28	3.12
ajqX	0.31	2.58
tueZ	0.19	2.64
pooE	0.48	8.02
tojO	0.14	4.57
ulzB	0.83	9.27
nouQ	0.00	12.01
fihF	0.02	5.63
tvfL	1.39	10.51
kqfD	0.09	3.61
fynL	0.03	7.75
mkiR	0.57	2.34
jmbD	0.05	10.21
ohqG	0.05	1.77
ipjQ	0.39	3.22
gfiM	0.16	2.81
qzbZ	0.10	3.00
xlsG	0.05	2.03
icpA	0.01	3.07
rdwT	0.11	6.57
qldF	0.13	4.48
innW	0.09	2.17
rxeF	2.20	7.02
ictT	0.01	7.84
fkiK	0.02	3.85
axrT	0.07	7.97
ktaO	0.29	3.54
xcpY	0.22	1.27
fdwZ	0.01	2.92
pxjV	0.01	2.67
nivG	0.02	2.12
owtI	0.05	3.67
urbJ	0.20	6.62
kwcC	0.05	11.19
aylR	0.29	4.00
nqlE	4.63	1.69
yzaT	0.03	3.94
gziU	0.18	1.83
rpiF	0.03	10.54
qfmE	0.02	1.74
obfA	0.35	2.07
onzU	0.01	2.44
nzgE	0.86	5.49
eilD	0.02	12.70
eukP	0.20	6.03
derM	0.16	2.10
tbqF	0.30	2.67
zlhE	0.09	2.23
crxR	0.01	8.77
obcX	0.08	1.71
cetC	0.17	3.28
eeaQ	0.13	1.06
jolM	0.01	15.01
mfwW	0.07	2.29
nwzX	0.14	1.74
slgG	0.51	3.53
nroN	0.48	2.72
ybuY	0.09	4.02
mctT	0.03	1.91
bvfD	0.28	2.40
lebJ	1.42	5.09
ldoA	0.04	10.06
uvoA	0.07	1.70
cnlX	0.00	3.35
iinD	0.15	3.18
mamF	3.13	3.27
gopC	0.20	3.31
hgtS	0.05	2.34
rviW	0.07	2.05
dgrW	0.10	2.41
xnlD	0.10	5.75
npvO	0.02	1.55
owkR	0.03	2.03
